AuthorKey,FullNames,Num_SBU_Papers_since2023,Num_Letters,Num_PeerReviewed,Num_Preprints,DOIs
reynolds_d,"Reynolds, D.",17,1,12,4,; 10.1103/6pmd-6dwr; 10.1103/6vqj-wdfr; 10.1103/PhysRevC.107.014907; 10.1103/PhysRevC.107.024907; 10.1103/PhysRevC.107.024914; 10.1103/PhysRevC.109.044907; 10.1103/PhysRevC.109.044912; 10.1103/PhysRevC.109.054910; 10.1103/PhysRevC.110.044901; 10.1103/PhysRevC.110.064909; 10.1103/PhysRevD.107.052012; 10.1103/PhysRevD.107.112004; 10.1103/PhysRevD.108.072016; 10.1103/PhysRevLett.130.251901; 10.1103/hpm9-qfp6; 10.1103/ptpm-jtt8
taranenko_a,"Taranenko, A.",17,2,12,3,; 10.1103/6pmd-6dwr; 10.1103/PhysRevC.107.014907; 10.1103/PhysRevC.107.024907; 10.1103/PhysRevC.107.024914; 10.1103/PhysRevC.109.044907; 10.1103/PhysRevC.109.044912; 10.1103/PhysRevC.109.054910; 10.1103/PhysRevC.110.044901; 10.1103/PhysRevC.110.064909; 10.1103/PhysRevD.107.052012; 10.1103/PhysRevD.107.112004; 10.1103/PhysRevD.108.072016; 10.1103/PhysRevLett.130.251901; 10.1103/PhysRevLett.134.022302; 10.1103/hpm9-qfp6; 10.1103/ptpm-jtt8
sun_j,"Sun, J.",17,1,12,4,; 10.1103/6pmd-6dwr; 10.1103/6vqj-wdfr; 10.1103/PhysRevC.107.014907; 10.1103/PhysRevC.107.024907; 10.1103/PhysRevC.107.024914; 10.1103/PhysRevC.109.044907; 10.1103/PhysRevC.109.044912; 10.1103/PhysRevC.109.054910; 10.1103/PhysRevC.110.044901; 10.1103/PhysRevC.110.064909; 10.1103/PhysRevD.107.052012; 10.1103/PhysRevD.107.112004; 10.1103/PhysRevD.108.072016; 10.1103/PhysRevLett.130.251901; 10.1103/hpm9-qfp6; 10.1103/ptpm-jtt8
khachatryan_v,"Khachatryan, V.",17,2,11,4,; 10.1103/6pmd-6dwr; 10.1103/6vqj-wdfr; 10.1103/PhysRevC.107.014907; 10.1103/PhysRevC.107.024907; 10.1103/PhysRevC.107.024914; 10.1103/PhysRevC.109.044907; 10.1103/PhysRevC.109.044912; 10.1103/PhysRevC.109.054910; 10.1103/PhysRevC.110.044901; 10.1103/PhysRevD.107.052012; 10.1103/PhysRevD.107.112004; 10.1103/PhysRevD.108.072016; 10.1103/PhysRevLett.130.251901; 10.1103/PhysRevLett.134.022302; 10.1103/hpm9-qfp6; 10.1103/ptpm-jtt8
perezlara_c,"PerezLara, C.E.",16,2,10,4,; 10.1103/6pmd-6dwr; 10.1103/6vqj-wdfr; 10.1103/PhysRevC.107.014907; 10.1103/PhysRevC.107.024907; 10.1103/PhysRevC.107.024914; 10.1103/PhysRevC.109.044907; 10.1103/PhysRevC.109.044912; 10.1103/PhysRevC.109.054910; 10.1103/PhysRevD.107.052012; 10.1103/PhysRevD.107.112004; 10.1103/PhysRevD.108.072016; 10.1103/PhysRevLett.130.251901; 10.1103/PhysRevLett.134.022302; 10.1103/hpm9-qfp6; 10.1103/ptpm-jtt8
dion_a,"Dion, A.",16,1,11,4,; 10.1103/6pmd-6dwr; 10.1103/6vqj-wdfr; 10.1103/PhysRevC.107.024907; 10.1103/PhysRevC.107.024914; 10.1103/PhysRevC.109.044907; 10.1103/PhysRevC.109.044912; 10.1103/PhysRevC.109.054910; 10.1103/PhysRevC.110.044901; 10.1103/PhysRevC.110.064909; 10.1103/PhysRevD.107.052012; 10.1103/PhysRevD.107.112004; 10.1103/PhysRevD.108.072016; 10.1103/PhysRevLett.130.251901; 10.1103/hpm9-qfp6; 10.1103/ptpm-jtt8
fan_w,"Fan, W.",16,2,10,4,; 10.1103/6pmd-6dwr; 10.1103/6vqj-wdfr; 10.1103/PhysRevC.107.014907; 10.1103/PhysRevC.107.024907; 10.1103/PhysRevC.107.024914; 10.1103/PhysRevC.109.044907; 10.1103/PhysRevC.109.044912; 10.1103/PhysRevC.109.054910; 10.1103/PhysRevD.107.052012; 10.1103/PhysRevD.107.112004; 10.1103/PhysRevD.108.072016; 10.1103/PhysRevLett.130.251901; 10.1103/PhysRevLett.134.022302; 10.1103/hpm9-qfp6; 10.1103/ptpm-jtt8
feege_n,"Feege, N.",15,2,9,4,; 10.1103/6pmd-6dwr; 10.1103/6vqj-wdfr; 10.1103/PhysRevC.107.024907; 10.1103/PhysRevC.109.044907; 10.1103/PhysRevC.109.044912; 10.1103/PhysRevC.109.054910; 10.1103/PhysRevC.110.044901; 10.1103/PhysRevD.107.052012; 10.1103/PhysRevD.107.112004; 10.1103/PhysRevD.108.072016; 10.1103/PhysRevLett.130.251901; 10.1103/PhysRevLett.134.022302; 10.1103/hpm9-qfp6; 10.1103/ptpm-jtt8
ge_h,"Ge, H.",15,2,9,4,; 10.1103/6pmd-6dwr; 10.1103/6vqj-wdfr; 10.1103/PhysRevC.107.024907; 10.1103/PhysRevC.109.044907; 10.1103/PhysRevC.109.044912; 10.1103/PhysRevC.109.054910; 10.1103/PhysRevC.110.044901; 10.1103/PhysRevD.107.052012; 10.1103/PhysRevD.107.112004; 10.1103/PhysRevD.108.072016; 10.1103/PhysRevLett.130.251901; 10.1103/PhysRevLett.134.022302; 10.1103/hpm9-qfp6; 10.1103/ptpm-jtt8
yalcin_s,"Yalcin, S.",14,1,9,4,; 10.1103/6pmd-6dwr; 10.1103/6vqj-wdfr; 10.1103/PhysRevC.107.024907; 10.1103/PhysRevC.109.044907; 10.1103/PhysRevC.109.044912; 10.1103/PhysRevC.109.054910; 10.1103/PhysRevC.110.044901; 10.1103/PhysRevD.107.052012; 10.1103/PhysRevD.107.112004; 10.1103/PhysRevD.108.072016; 10.1103/PhysRevLett.130.251901; 10.1103/hpm9-qfp6; 10.1103/ptpm-jtt8
